graph_type,size,objective_value,time_ms,iterations,branch_and_bound_nodes
Binomial Graph (80%),10,2.0,7,0,0
Complete,10,2.0,6,0,0
Star,10,2.0,4,0,0
Cycle,10,7.0,6,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,5,0,0
Binomial Graph (50%),10,5.0,4,0,0
Binomial Graph (80%),10,2.0,6,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,5,0,0
Binomial Graph (50%),10,4.0,4,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,4,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,4.0,7,0,0
Binomial Graph (50%),10,4.0,7,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,4.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,2,0,0
Binomial Graph (30%),10,4.0,6,0,0
Binomial Graph (50%),10,4.0,4,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,7.0,4,0,0
Binomial Graph (50%),10,4.0,4,0,0
Binomial Graph (80%),10,3.0,6,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,4.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,4,0,0
Binomial Graph (50%),10,3.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,5,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,4,0,0
Binomial Graph (50%),10,3.0,5,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,4,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,5,0,0
Binomial Graph (50%),10,5.0,4,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,2,0,0
Binomial Graph (30%),10,5.0,6,0,0
Binomial Graph (50%),10,4.0,4,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,7.0,4,0,0
Binomial Graph (50%),10,3.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,4,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,7.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,4,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,3.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,5,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,7,0,0
Complete,10,2.0,7,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,7.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,8.0,4,0,0
Binomial Graph (50%),10,3.0,4,0,0
Binomial Graph (80%),10,3.0,4,0,0
Complete,10,2.0,6,0,0
Star,10,2.0,4,0,0
Cycle,10,7.0,8,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,3.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,7,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,5,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,4.0,5,0,0
Binomial Graph (50%),10,3.0,4,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,5,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,4.0,4,0,0
Binomial Graph (50%),10,3.0,5,0,0
Binomial Graph (80%),10,2.0,8,0,0
Complete,10,2.0,6,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,5,0,0
Binomial Graph (50%),10,5.0,5,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,7,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,5,0,0
Binomial Graph (50%),10,4.0,4,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,4,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,3.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,5,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,3.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,5,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,6,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,5,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,3.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,4,0,0
Cycle,10,7.0,6,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,7.0,4,0,0
Binomial Graph (50%),10,3.0,4,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,5,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,2,0,0
Binomial Graph (30%),10,4.0,5,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,3.0,6,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,3,0,0
Binomial Graph (50%),10,3.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,2,0,0
Binomial Graph (30%),10,6.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,6,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,7.0,4,0,0
Binomial Graph (50%),10,5.0,6,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,6,0,0
Binomial Graph (50%),10,3.0,7,0,0
Binomial Graph (80%),10,2.0,7,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,6,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,4,0,0
Binomial Graph (30%),10,8.0,6,0,0
Binomial Graph (50%),10,3.0,6,0,0
Binomial Graph (80%),10,2.0,6,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,5,0,0
Binomial Graph (50%),10,4.0,4,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,4,0,0
Binomial Graph (50%),10,3.0,5,0,0
Binomial Graph (80%),10,3.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,4,0,0
Binomial Graph (50%),10,4.0,4,0,0
Binomial Graph (80%),10,3.0,6,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,7,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,6,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,5,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,3.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,4,0,0
Binomial Graph (30%),10,5.0,5,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,3.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,2,0,0
Binomial Graph (30%),10,5.0,4,0,0
Binomial Graph (50%),10,3.0,5,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,4,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,7.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,5,0,0
Binomial Graph (50%),10,3.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,4.0,4,0,0
Binomial Graph (50%),10,5.0,4,0,0
Binomial Graph (80%),10,3.0,6,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,6,0,0
Binomial Graph (50%),10,4.0,7,0,0
Binomial Graph (80%),10,2.0,7,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,4,0,0
Binomial Graph (50%),10,3.0,4,0,0
Binomial Graph (80%),10,3.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,4.0,4,0,0
Binomial Graph (50%),10,3.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,8.0,4,0,0
Binomial Graph (50%),10,4.0,4,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,2,0,0
Binomial Graph (30%),10,6.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,2,0,0
Binomial Graph (30%),10,5.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,3.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,4,0,0
Binomial Graph (50%),10,4.0,6,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,6,0,0
Binomial Graph (50%),10,3.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,4,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,4,0,0
Binomial Graph (50%),10,3.0,6,0,0
Binomial Graph (80%),10,2.0,7,0,0
Complete,10,2.0,8,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,4,0,0
Binomial Graph (50%),10,3.0,5,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,5,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,3.0,5,0,0
Complete,10,2.0,4,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,2,0,0
Binomial Graph (30%),10,5.0,4,0,0
Binomial Graph (50%),10,3.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,7,0,0
Star,10,2.0,5,0,0
Cycle,10,7.0,7,0,0
Path,10,7.0,7,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,4,0,0
Binomial Graph (50%),10,4.0,4,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,2,0,0
Binomial Graph (30%),10,6.0,5,0,0
Binomial Graph (50%),10,2.0,4,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,4,0,0
Binomial Graph (50%),10,4.0,4,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,7.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,6,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,5,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,5,0,0
Binomial Graph (50%),10,5.0,4,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,4,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,3.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,4,0,0
Binomial Graph (50%),10,4.0,4,0,0
Binomial Graph (80%),10,3.0,6,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,3.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,3.0,3,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,7.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,3.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,5,0,0
Binomial Graph (50%),10,3.0,4,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,4.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,4.0,4,0,0
Binomial Graph (50%),10,4.0,4,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,4,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,4.0,4,0,0
Binomial Graph (50%),10,3.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,7.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,3.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,7.0,4,0,0
Binomial Graph (50%),10,3.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,4,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,7.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,6,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,2,0,0
Binomial Graph (30%),10,7.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,6,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,7,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,7.0,4,0,0
Binomial Graph (50%),10,2.0,4,0,0
Binomial Graph (80%),10,3.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,7.0,4,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,5,0,0
Binomial Graph (50%),10,5.0,4,0,0
Binomial Graph (80%),10,2.0,6,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,7.0,4,0,0
Binomial Graph (50%),10,4.0,4,0,0
Binomial Graph (80%),10,3.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,6.0,4,0,0
Binomial Graph (50%),10,4.0,4,0,0
Binomial Graph (80%),10,3.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,5,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,3.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,5,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,4,0,0
Binomial Graph (50%),10,3.0,5,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,5,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,5,0,0
Binomial Graph (50%),10,4.0,4,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,7.0,5,0,0
Binomial Graph (50%),10,4.0,5,0,0
Binomial Graph (80%),10,2.0,5,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,2,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,3,0,0
Binomial Graph (30%),10,5.0,4,0,0
Binomial Graph (50%),10,3.0,4,0,0
Binomial Graph (80%),10,2.0,4,0,0
Complete,10,2.0,5,0,0
Star,10,2.0,3,0,0
Cycle,10,7.0,4,0,0
Path,10,7.0,4,0,0
Binomial Tree,4,3.0,2,0,0
Binomial Graph (30%),10,5.0,4,0,0
